,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,ai,data,use,business,companies,profit,information,making,medical,state,healthcare,corporations,car,state farm,farm,insurance,just,decision,premiums,better
Topic 1,algorithm,human,insurance,just,way,like,ai,thing,data,ve,article,loss,long,benefits,right,predictive,algorithms,calls,easier,individual
Topic 2,insurance,phone,app,steps,health,know,driving,wear,data,wear fitbit,fitbit,did,person,doctor,generate,later,condition,life,better,people
Topic 3,intelligence,human,artificial,machine,people,learning,machine learning,algorithms,artificial intelligence,ai,based,decisions,know,insurance,make,companies,medical,life,computer,fit
Topic 4,insurance,companies,insurance companies,like,ai,premiums,just,health,life,cash,use,buy,car,information,don,time,want,using,data,ll
Topic 5,https,data,ai,https www,www,com,href https,target _blank,href,target _blank https,_blank,_blank https,target,health,href https www,_blank https www,capitalism,medical,think,privacy
Topic 6,insurance,people,risk,lifestyle,algorithm,healthy,companies,wrong,better,web,insurance companies,right,insurance rates,choices,live,rates,end,algorithms,world,person
Topic 7,internet,bad,good,use,data,targeted,micro,micro targeted,just,insurance,need,abuse,people,monitoring,technologies,job,ads,think,health,time
Topic 8,data,health,care,insurance,health data,health care,access,health insurance,good,companies,used,hippa,don,insurance companies,want,use,know,patient,sharing,share
Topic 9,people,health,cells,just,healthy,used,doctor,help,end,information,law,good,pre,say,conditions,info,medical,tell,don,care
Topic 10,health,care,data,health care,companies,privacy,information,government,insurance,use,benefit,patients,public,want,good,science,technology,medical,way,sector
Topic 11,people,insurance,nih,don,medical,allofus,allofus nih gov,nih gov,allofus nih,https allofus,https allofus nih,gov,hipaa,company,make,surveillance,https,target,patient,person
Topic 12,information,data,don,medical,insurers,health,life,like,just,want,use,real,algorithms,need,yes,based,companies,history,dna,lie
Topic 13,data,information,hipaa,miner,make,health,people,time,patient,like,access,diagnosis,work,companies,mr,real,used,does,research,company
Topic 14,insurance,health,people,profit,healthcare,health insurance,information,care,private,universal,way,big,average,used,sure,health care,pool,make,company,policy
Topic 15,data,privacy,research,companies,don,know,like,way,medical,industry,new,create,company,end,security,law,insurance,history,health,information
Topic 16,insurance,data,pre,pre existing,existing,people,good,trust,think,coverage,making,citizens,use,profit,insurance companies,companies,risk,condition,premiums,corporations
Topic 17,insurance,ai,medical,privacy,industry,data,market,companies,just,use,care,demand,tools,mass,costs,need,want,like,records,risk
Topic 18,insurance,car,single payer,payer,test,single,did,privacy,thing,health,companies,don,insurance companies,care,health care,bad,privacy bad,privacy bad thing,bad thing,time
Topic 19,data,medical,insurance,companies,people,ai,information,records,use,insurance companies,medical records,big,based,just,decisions,large,healthcare,privacy,new,share
Topic 20,insurance,risk,company,insurance company,health,companies,higher,insurance companies,premiums,pool,health insurance,money,pay,don,individual,premium,government,people,claims,business
Topic 21,health,data,insurance,healthcare,privacy,day,benefits,genetic,lives,big,ai,discrimination,cost,good,control,technology,money,like,people,companies
Topic 22,data,privacy,people,good,life,insurance,real,don,use,social,want,conditions,just,ai,access,medical,cancer,risks,proprietary,time
Topic 23,ai,data,profit,way,don,need,make,non,work,industry,results,created,people,algorithms,future,live,just,research,doing,know
Topic 24,ai,data,pay,insurance,people,good,companies,safe,driving,rates,just,drivers,driver,society,understand,insurance companies,make,want,health,premiums
